""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[3.92 .. 3.97]"	6.1306	8.4941	7.1315	6.0886	8.1568	5.9635	9.5617	8.7625	5.5513	5.5938	6.5156	6.5918	9.7551	7.7003	9.6125	9.1999	7.284	4.7031	7.1636	5.6341	7.6363	7.794	4.5217	4.8543	10.747	10.981	6.0127	6.0717	9.91	7.0212	9.7395	7.6008	6.0976	6.9863	5.4601	7.4943	4.9919	7.2499	9.0552	7.6121	7.2996	6.9933	9.093	5.7059	4.5198	6.0743	6.2547	10.197	3.9481	6.864
"[3.97 .. 4.03]"	1.2404	3.594	3.3997	0.57818	1.4859	1.2953	4.2901	4.5336	1.4749	1.3239	2.5246	0.91178	3.7241	3.1821	4.7831	2.6627	2.3852	1.9313	3.508	1.9083	3.623	3.1497	1.7185	1.3737	3.6856	4.5205	0.49526	2.0925	6.6637	1.9632	3.9108	4.1448	1.2164	0.39049	2.4389	2.8518	0.68809	2.1997	3.283	1.9245	2.8112	1.7493	3.99	3.9074	1.1546	1.7042	1.3364	5.2242	0.98512	2.5247
"[4.03 .. 4.08]"	1.5857	3.3404	2.9371	1.2441	1.5637	1.9543	3.6968	3.7387	2.3946	1.2846	3.1545	1.3607	4.1071	2.3075	3.586	2.4637	2.3673	1.8881	2.7343	1.8895	3.0097	3.0856	1.9304	3.0867	4.5546	3.0638	1.23	4.0682	5.5652	2.519	3.882	3.0943	2.2773	1.2903	4.1018	2.8581	1.9832	2.0182	3.2202	1.6633	2.8252	1.4275	3.8081	3.215	2.3016	2.0797	1.4917	3.9092	1.4489	1.6097
"[4.08 .. 4.14]"	17.87	18.734	14.142	13.315	21.593	22.543	11.157	16.882	23.565	8.4243	18.951	22.239	21.864	15.627	20.753	11.986	31.258	53.581	25.057	27.512	17.516	23.728	9.2972	19.297	20.47	22.986	21.48	29.353	18.427	33.907	19.115	26.404	12.88	22.099	16.867	16.147	14.807	15.865	21.034	28.157	15.149	30.474	24.65	17.521	14.781	10.742	28.651	26.678	15.649	20.081
"[4.14 .. 4.17]"	2.914	2.5323	1.648	0.65555	1.2213	2.211	3.121	4.2684	2.2321	0.72854	1.1169	0.8192	2.0673	2.1585	3.5719	1.4162	2.8283	0.81889	2.5059	1.2421	3.0396	3.779	1.0629	0.78519	2.0147	4.261	0.99134	1.1873	3.958	0.16844	3.6913	2.8319	0.40876	0.69035	1.4063	1.5969	1.7767	2.1122	2.0972	1.5057	4.32	1.6429	2.0989	1.8074	2.2366	0.60965	1.6664	4.1339	1.8288	3.8792
"[4.17 .. 4.19]"	0.24341	1.2222	0.93719	0	0.075336	0.092763	0.82994	1.2616	0.48971	0	0.87052	0	1.0597	1.0073	1.6468	0	0.86543	0.22771	0.6631	0.94554	1.3175	1.0618	0.61747	0.12852	0.61552	1.3871	0	0.44624	2.2538	0	1.2359	1.5634	0.50937	0.10314	1.7658	0.5644	0.90345	0.23501	0.74637	0.42745	0.94484	0.64526	1.1396	0.85157	0.016308	0	0.1931	2.1259	0.84334	0.27302
"[4.19 .. 4.24]"	3.306	4.5262	2.8511	1.1635	2.7152	2.2844	4.1674	4.2242	2.6035	1.4241	2.8399	2.1795	5.3411	3.579	4.331	2.7354	3.6139	1.3444	2.3753	2.2614	2.36	4.8752	2.0176	1.4337	3.3965	4.048	3.184	1.7702	5.7893	1.5617	4.1941	3.4985	2.0718	2.6723	2.2699	2.8009	1.4948	2.9769	3.9165	2.1801	3.5718	4.7285	4.7277	2.3238	1.0172	1.8662	1.8341	5.2705	1.1351	1.6906
"[4.24 .. 4.27]"	0.81862	2.1007	1.8021	0.21283	0.63063	0.94319	1.7161	2.2755	1.0031	0.46191	1.2498	0.5999	2.0498	1.8786	2.5391	0.72985	1.8554	1.0043	1.4084	1.139	1.2272	1.8636	0.99929	1.6979	1.4589	1.9983	0.82549	1.0603	3.2227	0.741	2.0641	2.2623	0.69824	0.17859	1.8705	1.3596	0.62788	0.71656	1.8183	0.75452	1.6063	1.2355	1.816	1.1694	1.183	0.75213	0.81257	2.2471	0.93415	0.68343
"[4.27 .. 4.33]"	2.9428	5.395	4.558	1.1714	2.5168	2.0623	5.809	5.7987	3.0421	1.9645	4.4981	2.2911	6.2851	4.9952	6.0192	2.6927	3.5118	1.7235	3.5081	3.355	4.1841	5.26	3.3022	2.0894	5.7182	5.3032	2.8986	2.4549	7.9063	3.2608	5.7472	5.0938	2.9299	1.6603	3.9229	4.648	2.6072	2.7468	4.4789	2.4087	4.0951	3.4769	5.3334	2.6875	2.0729	2.3725	2.1605	6.2289	2.207	3.0478
"[4.33 .. 4.38]"	0.72241	3.528	2.2973	0	0.36709	0.27982	2.6215	3.6032	0.86251	0	1.758	0.13202	3.3576	2.8935	3.7847	0.41504	1.3319	0.35003	0.98992	1.0121	1.4436	2.8695	1.2764	0	1.348	3.3614	0.11388	0.18989	5.9541	0.29742	2.9327	2.8589	0.26298	0	1.6043	2.0561	0.29531	0.28726	2.4425	0.51198	2.1624	1.6006	2.9288	1.187	0	0	0.31139	3.8521	0.36397	0.27466
"[4.38 .. 4.42]"	0.30646	2.593	1.6457	0	0	0	1.7736	2.6849	0.56913	0	1.0992	0	2.23	2.2034	2.7723	0	0.7474	0	0.34047	0.50333	0.59927	2.1446	0.64208	0	0.85138	2.3956	0	0	4.5883	0	1.846	1.863	0	0	1.0065	1.3945	0	0.011068	1.9066	0.088335	1.482	1.1736	2.2158	0.59845	0	0	0	2.6782	0	0
"[4.42 .. 4.48]"	0.20761	3.5372	2.2263	0.029563	0.048055	0.097469	2.2091	3.8477	0.51402	0	1.766	0.026951	3.3804	3.5012	3.7544	0.015494	0.88133	0.064117	0.053146	0.4648	0.36007	3.9057	0.50381	0.25104	1.0579	3.679	0.12892	0	6.6487	0.054455	1.6714	2.4534	0.033341	0.051935	1.4883	2.0496	0.10228	0	2.715	0.064766	2.2109	1.9243	3.2529	0.30627	0.25837	0	0.071417	4.1864	0.03635	0.04499
"[4.48 .. 4.50]"	0	1.0819	0.45467	0.044889	0	0	0.56172	1.2324	0	0	0.26353	0	0.86211	1.2869	1.2212	0	0.049495	0	0	0	0	1.38	0	0	0.054875	1.1614	0	0	2.4124	0	0.010158	0.50778	0	0	0.30482	0.51406	0	0	0.64499	0	0.51634	0.49483	0.9393	0	0	0	0	1.3432	0	0
"[4.50 .. 4.52]"	0	1.4324	0.86783	0.76303	0.14391	0.35527	1.3026	1.84	0	0	0.55636	0.063523	1.3618	2.0321	1.4907	0.29246	0.28815	0.22668	0.15976	0	0	1.9163	0	0.024846	0.82596	1.5244	0.001897	0	3.0594	0.071624	0	0.84314	0.0038245	0.18601	0.40658	1.0292	0.08094	0	0.99607	0.044207	0.64842	0.94287	1.4676	0.16581	0.10679	0	0.089161	1.8024	0.0017007	0.24956
"[4.52 .. 4.54]"	0	1.4953	0.69804	0.80632	0	0.33833	0.92566	1.7953	0	0	0.30888	0	1.1831	1.9934	1.5491	0.26443	0.059039	0	0	0	0	1.6922	0	0	0.036403	1.2988	0	0	2.8925	0	0	0.83564	0	0	0.39598	1.0096	0	0	0.9642	0	0.6582	0.83623	1.2361	0	0	0	0	1.4807	0	0
"[4.54 .. 4.55]"	0	0.61748	0.29714	0.48493	0.068894	0.21257	0.47445	0.77501	0.00016927	0	0.21159	0	0.55601	0.93461	0.61828	0.27123	0.1203	0	0	0.090016	0	0.75183	0.023975	0.018001	0.073553	0.61587	0.017827	0	1.0919	0	0.022286	0.35907	0.016689	0.061084	0.21948	0.57507	0.033851	0	0.55459	0.079471	0.31776	0.41878	0.53539	0.00073211	0	0	0.055535	0.5912	0	0.011077
"[5.00 .. 5.05]"	0	0	0	4.8284e-05	0	0	0	0	0	1.3631	0	0	0	0.0070114	0	0	1.0892	0.00079211	1.6894	0.19925	2.0915	0.048151	0.78352	0	0.3913	1.0306	0.012369	1.4754	0	0.0083919	0	0	0	0.0137	0	0	0.0068461	1.0452	0	0.0093724	0	0	0	0	0	2.4853	0	0	0	0
"[5.05 .. 5.10]"	0.22712	0	0	0.0096438	0.0076623	0.021956	0	0	0.26435	1.5084	0.008969	0	0.018717	0	0	0	1.0054	0	1.6064	0.32147	2.0729	0	0.75971	0	0.45081	0.97094	0	1.6521	0	0	0.010652	0	0.0043439	0	0	0	0	1.2074	0	0	0	0.015411	0	0.00066402	0.012372	2.6448	0.0014755	0.022598	0	0.00095639
"[5.10 .. 5.13]"	0.15673	0	0	0	0	0	0	0	0.085038	0.85086	0	0	0	0	0	0	0.3722	0	0.73901	0.10938	1.006	0	0.42648	0	0.16939	0.3181	0	0.86187	0	0	0	0	0	0.0036477	0	0	0	0.55021	0	0	0	0	0	0	0	1.3636	0	0	0	0.014604
"[5.13 .. 5.15]"	0.18147	0	0	0.0074967	0.039704	0	0	0.02058	0.12081	0.70562	0.004559	0.062999	0.020991	0.068917	0	0.0032489	0.29556	0	0.58655	0.17937	0.73514	0.032246	0.38414	0.025344	0.19198	0.25007	0.055097	0.63872	0.08695	0.043013	0.019169	0	0	0.0040519	0	0	0.069632	0.4622	0	0.067502	0	0.046174	0.049776	0.022161	0.073344	0.96913	0.029698	0.018961	0.044568	0.071539
"[5.15 .. 5.17]"	0.08544	0	0	0	0	0	0	0	0.11547	0.62329	0	0	0	0	0	0	0.21526	0	0.55557	0.069256	0.59616	0.026546	0.3061	0.19072	0.13745	0.13621	0.056481	0.73836	0	0	0.047849	0	0	0	0	0	0	0.3955	0	0.03036	0	0	0	0	0.13858	0.91964	0	0	0.00052477	0.0034066
"[5.17 .. 5.21]"	1.0396	0.34157	0.12661	0.96994	0.38874	1.2078	0.27114	0.6977	0.92525	1.8997	0.5043	0.075316	0.25611	0.38653	0.26212	0.75502	1.8243	0.067819	1.6548	0.72939	1.688	0.93742	1.0252	2.6786	1.2179	0.54419	1.1773	2.6596	0	0.75929	0.97006	0.95883	0.13663	0.51808	1.422	0.14074	0.91765	1.2368	0.99181	1.0195	0.60654	0.5565	0.45437	0.19859	2.4668	3.0225	0.90466	0.11383	1.3994	0.76634
"[5.21 .. 5.24]"	12.822	19.629	13.022	13.857	18.392	14.553	12.967	11.071	15.087	21.091	16.65	16.356	10.953	22.466	15.545	12.945	11.091	10.828	14.995	14.857	15.393	15.023	19.898	9.1815	10.17	15.545	13.92	8.37	25.385	13.527	12.592	11.184	14.44	17.155	10.787	14.562	15.81	13.282	14.206	21.629	11.571	14.201	17.16	12.761	13.044	13.527	16.571	14.316	14.613	14.094
"[5.24 .. 5.26]"	2.6341	2.2871	2.9408	3.0877	3.5916	3.0642	2.7995	3.1779	2.3798	3.2191	2.4528	2.2509	2.6587	3.2084	3.0342	3.6255	2.6229	1.3964	3.4651	3.2662	3.2538	2.5954	2.6144	3.3542	2.8677	2.6607	3.4104	3.7212	1.9266	2.6494	3.1937	2.9159	3.4146	2.7389	2.7528	2.2982	2.8867	3.2233	3.6456	2.2884	2.4189	2.5064	2.2764	1.1994	3.2203	3.8446	2.984	2.3386	2.6587	3.3919
"[5.26 .. 5.32]"	11.887	8.8199	12.419	20.648	11.631	14.621	11.2	16.56	8.2335	11.529	8.1632	9.8339	8.5061	12.965	15.316	18.547	17.602	9.6565	13.742	11.096	10.616	7.9334	12.619	28.738	13.041	8.0989	14.036	21.092	6.4384	9.6766	14.048	12.675	18.278	8.6091	18.379	10.031	13.71	11.787	16.344	9.2283	12.61	10.314	6.775	4.9727	22.512	18.838	13.633	8.0995	15.135	15.088
"[5.32 .. 5.37]"	0.94772	0.54143	0.25813	2.3507	0.32484	1.253	0.72835	2.021	0.35894	0.89378	0.37058	0.2357	0.21856	0.89382	2.3889	1.535	3.2666	0.68596	2.4932	0.6906	2.1445	0.21996	1.6756	5.9465	1.7303	1.4347	0.37104	4.6558	0.17463	0.61547	0.47533	0.64888	1.3769	0.095098	2.4271	0.32681	0.64499	1.369	0.90729	0.49962	0.98775	0.76632	0.57984	0.15164	3.2064	2.7812	0.93635	0.24845	0.9473	1.142
"[5.37 .. 5.42]"	0	0	0	0	0	0.032663	0	0.22246	0.0056702	0.34511	0	0.0024334	0.018538	0	0.49096	0	0.67622	0	1.1757	0.076347	1.2206	0	0.51466	0.015177	0.32205	0.7531	0.0038453	0.8911	0.00050783	0.024394	0.0012265	0.0070979	0	0.0040962	0	0.00016263	0.0033963	0.51231	0	0	0.0059001	0	0.094855	0.16773	0	1.0371	0	0	0	0
"[5.42 .. 5.48]"	0	0	0	0	0.0099896	0	0	0.13555	0	0.28635	0	0	0	0.0035264	0.15589	0.00268	0.43003	0.0044381	1.0062	0	1.2141	0.017525	0.44575	0	0.13684	0.60437	0	0.5107	0.00016909	0	0	0.0097623	0	0.020213	0	0	0.014613	0.37593	0	0.011386	0	0	0	0.001956	0	0.95307	0.0046905	0	0.00040756	0
"[5.48 .. 5.54]"	0	0	0	0.013856	0	0	0	0.037261	0.010124	0.22547	0.00047478	0	0	0.0022928	0.18493	0	0.36391	0.004993	0.96346	0	1.0709	0.016026	0.32113	0	0.084348	0.62763	0.0072259	0.3934	0	0	0.0058641	0	0.0083097	0	0	0.0087775	0	0.36156	0	0	0	0	0	0	0.0065725	0.87659	0	0	0	0.0030907
"[5.54 .. 5.57]"	0	0	0	0	0	0.012853	0	0	0	0.066224	0	0.024886	0	0	0.043109	0.017273	0.10397	0	0.43965	0	0.41808	0	0.12844	0	0.038028	0.24932	0	0.14214	0.01823	0.0058861	0.006438	0	0	0.029006	0	0	0	0.11391	0	0.017129	0	0.024658	0	0	0	0.42466	0.018297	0.0011749	0	0
"[5.57 .. 5.62]"	0	0	0	0.0072123	0.012295	0.00024127	0	0.038225	0	0.22714	0	0.00033971	0	0.0090646	0.053024	0	0.15896	0	0.75968	0	0.78747	0	0.27679	0.012401	0.003074	0.47149	0.010442	0.41176	0	0	0.00045711	0.011109	0	0	0	0.017095	0.012421	0.26143	0	0.0014596	0	0	0	0.013997	0.0019609	0.74989	0	0	0.0052751	0
"[5.62 .. 5.67]"	0	0	0	0	0	0.007361	0	0	0.01413	0.21942	0.01847	0	0.013701	0	0	0	0.090486	0	0.66871	0	0.80268	0.00066351	0.21824	0	0	0.40813	0.01442	0.37532	0	0	0.012308	0.0062044	0.0065301	0	0	0	0	0.24852	0	0.0058297	0.0053466	0.0042237	0	0.13438	0.012264	0.65861	0.0009796	0.011458	0	0.0012829
"[5.67 .. 5.72]"	0	0	0	0	0.021321	0	0	0	0.015885	0.18181	0	0.021786	0.027634	0	0	0.0047152	0.0081336	0.014234	0.63711	0	0.63209	0	0.21304	0	0.0084624	0.39231	0	0.31345	0	0.014589	0	0	0.0029547	0.010846	0	0.0057184	0.023686	0.28418	0	0	0	0.0026574	0	0	0	0.59357	0.010173	0	0	0.0035821
"[5.72 .. 5.74]"	0	0	0	0.0047605	0	0	0	0.019087	0	0.061952	0	0.0018875	0	0.0052415	0	0	0	0	0.25528	0	0.27027	0.0074723	0.097415	0.0021904	0.0024884	0.15788	0.0117	0.090985	0.010987	0	0.0047039	0	0	0.0060941	0	0	0	0.089039	0	0	0.028876	0.01019	0	0	0	0.21078	0	0	0.029752	0
"[5.74 .. 5.77]"	0	0	0	0	0	0.0058177	0	0	0.0042212	0.15877	0	0	0.017579	0	0.00040612	0	0.0023815	0	0.3966	0	0.3511	0	0.11773	0	0.0055052	0.20258	0.0055957	0.13322	0	0	0	0.0026195	0	0	0	0	0.014504	0.24198	0	0.0043881	0	0	0	0.021172	0.011627	0.38409	0.0067006	0.0022138	0	0.014686
"[5.77 .. 5.82]"	0	0	0	0.024988	0.01753	0.0041798	0	0	0.0056064	0.17126	0.029967	0.012651	0.026039	0	0.07221	0.00902	0.0092106	0.0037055	0.68938	0	0.59645	0	0.20656	0.0020711	0	0.41711	0.0015045	0.32431	0.019604	0	0.010042	0.0076166	0.005501	0.052521	0	0.014929	0	0.23621	0	0.0141	0.0025283	0.031745	0	0	0	0.54863	0.0092043	0.0060425	0.018875	0
"[5.82 .. 5.87]"	0	0	0	0	0	0	0	0	0	0.19397	0	0	0	0.011954	0	0.014502	0	0.009207	0.64028	0	0.54867	0.008538	0.13651	0	0	0.41172	0.0021181	0.28421	0	0.012698	0.013886	0	0	0	0	0	0.016612	0.24725	0	0	0	0	0	0.0062807	0.0023155	0.56423	0	0	0	0
"[5.87 .. 5.90]"	0	0.018412	0	0.00093788	0.0080579	0.0093195	0	0.0049585	0	0.091287	0.017345	0.0043905	0.021467	0	0.027093	0	0.010428	0	0.28188	0.0091417	0.24206	0.0044098	0.090706	0.0067231	0.0045155	0.18083	0	0.14067	0.0052544	0	0	0	0.018513	0.022048	0	0.006807	0.0005588	0.12482	0	0.0081863	0	0.012268	0	0	0	0.26982	0.013996	0.016947	0	0.0095387
"[5.90 .. 5.92]"	0	0.017559	0	0	0.015038	0	0	0.040468	0.0041477	0.081849	0	0.017482	0.043428	0.010402	0.017139	0	0.0013053	0	0.28887	0.026669	0.33487	0	0.1666	0.0036125	0.012103	0.17899	0.022915	0.1635	0.0095109	0.00082175	0.0083696	0.03368	0	0	0	0.0048231	0	0.13543	0	0.0032104	0.017624	0	0.027966	0	0.0088931	0.3539	0	0.010328	0.0039513	0.0098695
"[5.92 .. 5.97]"	0	0	0	0	0	0.024725	0	0	0	0.09636	0.00045645	0.0030738	0	0	0	0	0	0.0082199	0.42403	0	0.37422	0.01337	0.17169	0.0074873	0	0.26928	0	0.17737	0	0	0.00082695	0	0	0	0	0	0.029019	0.17413	0	0	0.010651	0	0	0	0	0.41357	0.011795	0	0	0
"[5.97 .. 5.99]"	0	0.0040178	0	0.0053952	0	0	0	0.0081069	0	0.035233	0	0.0060549	0	0.015242	0.0134	0	0	0	0.24595	0.00084539	0.26586	0	0.093435	0	0.018474	0.15391	0.0013109	0.12244	0.0044589	0	0	0	0.032205	0.021859	0	0.0024361	0	0.11788	0.00041531	0.00076446	0.016916	0	0	0.003048	0.0030471	0.22784	0.0012785	0.0076794	0.027023	0
"[5.99 .. 6.03]"	0	0	0	0	0	0.0064836	0	0	0.0057617	0.052762	0	0	0	0	0	0.01585	0.0040358	0.0020173	0.37407	0	0.306	0.0010127	0.12031	0.0036971	0	0.25902	0.013973	0.19476	0	0	0	0	0	0	0	0	0.028353	0.13676	0	0.0064817	0	0.01071	0	0.0036952	0	0.31131	0.011094	0	0	0
"[6.03 .. 6.08]"	0	0.0088738	0	0	0.010196	0.0079884	0	0	0	0.093016	0.01989	0	0	0	0	0.007475	0.015346	0	0.47514	0.033628	0.39168	0	0.13718	0	0.0010161	0.29007	0	0.20351	0.021495	0.030559	0.010196	0.01829	0.0042547	0	0	0.029699	0	0.18746	0.020841	0	0.018261	0	0	0	0.0061539	0.42121	0	0.010155	0	0.014569
"[6.08 .. 6.13]"	0	0	0	0	0	0	0	0	0.0018007	0.095837	0.0088906	0.0061494	0	0.008044	0.030591	0	0	0.022917	0.40637	0	0.36749	0.0090698	0.14443	0	0.017098	0.32372	0.0027904	0.24056	0.010404	0	0.011676	0	0	0.039516	0	0	0	0.1665	0	0.0043847	0	0.0013053	0	0.0017786	0	0.34196	0	0	0	0
"[6.13 .. 6.17]"	0	0.00014256	0	0.023294	0.00019821	0.0018981	0	0.0017011	0.0042255	0.065527	0	0.0061445	0	0	0	0	0	0	0.29795	0.012843	0.24497	0.0041135	0.043173	0.0043595	0	0.15474	0	0.12581	0	0.0008874	0	0.011481	0	0	0	0	0	0.12391	0.01201	0.0010908	0.021226	0	0.023758	0	8.5094e-05	0.24553	0.023086	0.01041	0.012135	0.024966
"[6.17 .. 6.21]"	0	0	0	0.0093686	0.0061417	0	0	0	0	0.12525	0.0079448	0	0.035367	0.018838	0	0	0.011406	0.0007629	0.37885	0	0.33042	0.0022864	0.11362	0.0012386	0.0053684	0.21384	0.0042829	0.18882	0	0	0	0	0.023737	0.0014309	0	0.00081595	0.00090024	0.076041	0.0108	0	0	0.011235	0	0.011066	0.0048378	0.33629	0	0	0	0
"[6.21 .. 6.26]"	0	0	0	0	0	0.0050416	0	0.030224	0.019671	0.059034	0	0	0	0	0.0080011	0.019421	0	0	0.3842	0.0089957	0.31618	0	0.12206	0	0.0083135	0.24421	0.0033522	0.20348	0	0.015283	0.0011895	0.0049153	0	0.0073366	0	0.019712	0	0.12369	0	0.017168	0.00041211	0	0.052368	0	0.0053096	0.35113	0.015152	0.0047429	0	0
"[6.26 .. 6.30]"	0	0	0	0	0.01305	0	0	0	0	0.092687	0.018698	0.026745	0	0	0.011901	0	0.0081163	0	0.32062	0	0.27106	0.012986	0.095467	0.001271	0.0038058	0.20583	0.012796	0.15558	0.0050256	0.0088475	0.0082286	0.0035912	0	0.0047086	0	0	0.0051919	0.079266	0.0078826	0	0	0.038576	0.0012586	0.0056974	0	0.30194	0	0	0.012898	0.0083918
"[6.30 .. 6.33]"	0	0.02141	0	0.010264	0	0.0074926	0	0.0083989	0.0020084	0.066974	0	0.0090013	0	0.006027	0	0.040145	0	0.0083972	0.26677	0.0059033	0.22257	0.019117	0.058407	0.0062557	0	0.14296	0	0.077755	0	0	0	0	0	0.014153	0	0.020693	0	0.1241	0	0.015116	0.007059	0	0	0	0.014186	0.20208	0	0.015488	6.1767e-05	0
"[6.33 .. 6.35]"	0	0.0078296	0	0	0.010086	0	0	0.0052476	0	0.044168	1.0414e-07	0	0.0097551	0.0050333	0.00084908	0.0081825	0	0	0.14634	0	0.15711	0.0068091	0.022667	0	0.023534	0.064257	0	0.063662	0	0.0125	0.0030091	0.0056862	0.0016955	0	0	0	0.025073	0.015912	0	0	0	0.0030094	0	0.012762	0	0.11927	0.01417	0	0	0.0072991
"[6.35 .. 6.40]"	0	0.0016056	0	0.028923	0	0.023775	0	0	0.0098321	0.082627	0.012505	0	0	0.0016117	0.0080442	0	0.013376	0.0045444	0.27921	0.010828	0.27083	0	0.092841	0	0	0.23181	0.006376	0.16623	0.011306	0.0067973	9.424e-06	0.0045597	0	0	0	0.016084	0	0.089819	0.01516	0.015842	0.0062626	0.0034457	0.030822	0	0	0.31249	0	0	0.0040844	0
"[6.40 .. 6.44]"	0	0	0	0	0.0001836	0	0	0	0	0.051543	0	0.010943	0.0047029	0	0	0.013055	0	0	0.33235	0	0.31048	0.029557	0.043302	0.0028154	0	0.21334	0	0.15542	0	0	0	0	0	0	0	0.017996	0.0043198	0.12086	0.0043201	0	0	0.0097597	0	0.0070097	0.0065564	0.29941	0.01403	0	0.0068497	0
"[6.44 .. 6.50]"	0	0.0011952	0	0.00015405	0	0	0	0	0	0.048492	0.0060613	0.0015542	0.0047046	0.00098563	0.0082433	0	0	4.3506e-05	0.35752	0	0.27628	0	0.085502	0	0	0.23613	0	0.1848	0.010089	0.0093687	0.0070751	0	0	0	0	0	0	0.088188	0.0065299	0	0	0	0	0	0	0.34279	0	0.028917	0	0.015125
"[6.50 .. 6.53]"	0	0.0097545	0	0	0.01836	0.0077536	0	0.014144	0.018646	0.048492	0.013625	0	0	0.00068067	0.015381	0	0.017818	0	0.22478	0.024775	0.16297	0	0.057237	0.020002	0.025476	0.13338	0.040996	0.10566	0.0065562	0	0.00091216	0.013214	0.022752	0.020451	0	0	0	0.067579	0	0.0070649	0	0.00050656	0.0099142	0	0	0.18873	0.016572	0	0.0059446	0
"[6.53 .. 6.58]"	0	0	0	0	0.001569	0.0091265	0	0.015476	0	0.10787	0	0.026868	0	0.0015707	0	0	0	0.0075786	0.33687	0	0.29845	0	0.094322	0	0	0.21882	0	0.18967	0	0	0	0	0	0	0	0	0.020261	0.18312	0	0.00060231	0	0	0.0041073	0	0.00023876	0.32098	0	0.014876	0	0.0033107
"[6.58 .. 6.61]"	0	0	0	0.011143	0.0053989	0	0	0	0	0.014066	0	0	0.0037294	0	0	0	0.022481	0	0.19712	0	0.16103	0.01838	0.054989	0.011984	0.016488	0.1128	1.5478e-05	0.078613	0.00035522	0.008266	0	0.020583	0.019769	0.017529	0	0	0	0.03721	0	0	0.0033684	0.007492	0	0	0	0.1722	0	0	0.0069732	0
"[6.61 .. 6.64]"	0	0.013473	0	0	0.0050695	0.0084377	0	0	0.015142	0.030506	0.0019684	0	0.01384	0.011346	0	0.0040579	0	0	0.19136	0.0081669	0.10848	0	0.023945	0	0	0.1644	0	0.081775	0.0036053	0	0.012794	0	0	0	0	0.019329	0	0.081463	0	0.0057021	0.010595	0	0	0.0039503	0	0.15007	0.0043098	0	0	0.010914
"[6.64 .. 6.66]"	0	0	0	0.033331	0	0	0	0.015547	0	0.071749	0.0021192	0.033173	0.005864	0	0.001649	0	0	0.013995	0.1519	0	0.14214	0.015661	0.043195	0	0	0.10003	0.0043052	0.076848	0	0.010527	0.0062502	0	0	0	0	0	0	0.075954	0.017048	0	0	0	0.00043653	0	0	0.15889	0	0	0.00060008	0
"[6.66 .. 6.71]"	0.061501	0.018474	0.076123	0.0045172	0.10075	0.010975	0.056765	0.29972	0.025058	0.41011	0.0010396	0.020534	0.0042139	0.1429	0.020706	0.022841	0.035893	0	0.48952	0.062666	0.48522	0.00093042	0.3247	0.020842	0.013401	0.47215	0.014521	0.26257	0.038478	0.032632	0	0.017872	0.067484	0.041475	0	0.035147	0.026848	0.43847	0.0089474	0.075092	0.01306	0.030748	0.014778	0.0048615	0.015757	0.55671	0.0010857	0.040588	0.0098064	0
"[6.71 .. 6.75]"	0	0	0	0	0	0	0.0027502	0.079041	0	0.10553	0.00048818	0.0067253	0	0.0073684	0	0	0.0031489	0.0018505	0.26488	0	0.20531	0.0069742	0.13619	0	0	0.21408	0	0.13123	0	0	0	0.0015509	0	0	0	0	0.0078919	0.11754	0	0	0.019766	0	0	0.0038394	0	0.26062	0.0075271	0	0	0
"[6.75 .. 6.77]"	0	0.0056758	0	0	0	0.0024476	0	0.03547	0.013081	0.063676	0	0.013789	0	0	0	0	0	0.0022766	0.18259	0.0011901	0.18668	0	0.054616	0.013194	0	0.13305	0.0065021	0.10552	0.0077431	0.016679	0.0015922	0	0.035063	0.035386	0	0	0	0.15249	0	0.00082798	0	0.0064462	0	0	0	0.23035	0.0039909	0	0	0
"[6.77 .. 6.83]"	0	0.009638	0.017309	0.015611	0.0010724	0.0084502	0.029795	0.22819	0.007741	0.37815	0	0	0.015991	0.019638	0.0064203	0.011278	0.019634	0	0.58032	0.0015076	0.46076	0.043286	0.36697	0	0.0059036	0.49874	0.002637	0.30711	0	0	0	0.012605	0.0016559	0.0042279	0	0.0067417	0.011046	0.50239	0.0057751	0.013911	0.020562	0.013324	0.0096157	0.023471	0.019727	0.65311	0	0.0080851	0.011314	0.013334
"[6.83 .. 6.85]"	0	0	0.011396	0	0.0048248	0	0	0.063332	0	0.10744	0.0084828	0	0	0	0	0	0	0.0076296	0.14899	0	0.15417	0	0.095097	0	0.0025488	0.10819	0	0.10816	0	0.018233	0	0	0	0	0	0	0	0.16433	0	0	0	0	0	0	0	0.23255	0	0	0	0
