""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[2.50 .. 2.55]"	2.4053	2.4094	3.246	1.5113	1.5761	0.75324	1.7063	2.332	1.9853	2.5559	1.9779	1.0515	1.4547	0.46587	2.4418	1.1504	1.519	1.5494	2.1264	2.2132	2.4303	2.4568	2.4771	0.91364	2.369	3.0554	1.3253	2.6092	2.5163	2.1345	1.2036	2.5221	2.17	0.88444	1.7541	1.9139	2.6306	1.9404	1.2413	1.5583	2.2287	0.98393	2.302	153.62	1.277	2.5268	1.9937	3.2526	1.5919	2.5305
"[2.55 .. 2.59]"	1.4329	1.402	1.6279	0.39133	0.72881	0	1.2861	1.4563	1.2831	1.3969	0.19344	0.50005	1.044	0.12393	0.44656	0.31361	0.36053	0.01755	0.45349	0.31821	0.91668	1.2667	1.1489	0.31333	1.1096	1.1732	0.56709	0.68107	1.2828	0.37273	0.52344	1.0216	0.82052	0.68458	0.47249	1.0805	0.72746	1.4318	0.29836	0.18281	0.81166	0.31134	1.4347	2.1665	0.75294	1.4447	0.49928	1.0404	0	0.029937
"[2.59 .. 2.61]"	0.14939	0.31802	0.22097	0	0	0.015009	0.39514	0.44042	0.3715	0.60903	0	0	0	0.062753	0.66331	0.080095	0.32092	0.43581	0.46509	0	0	0.10365	0.16042	0	0	0.20959	0	0.4171	0.25488	0	0	0.16456	0	0	0	0.18281	0	0.26274	0.091959	0.23261	0	0	0.16643	1.453	0	0.23824	0	0.020583	0	0.25162
"[2.61 .. 2.64]"	0.8874	0.9504	1.1449	0.026286	0.421	0.1313	0.96309	0.86952	1.0544	1.0613	0.57722	0.32593	0.70955	0.20777	0.88707	0.31262	0.36605	0.84244	0.68094	0.64343	0.66057	0.91907	0.7033	0.26093	0.56353	0.7337	0.66768	0.76076	0.64788	0.16533	0.26908	0.99664	0.25018	0.72023	0.59688	0.6695	0.61586	0.99037	0.24718	0.41815	0.58624	0.34335	0.7007	3.3742	0.41172	0.80977	0.32252	0.78088	0.12323	0.37872
"[2.64 .. 2.70]"	5.2586	4.6159	5.6418	4.2079	4.3294	2.8179	4.7438	4.5869	5.1323	5.3932	4.2156	3.022	4.482	2.6634	4.4892	4.0926	3.1176	3.4477	4.3445	4.6911	4.0743	4.6159	4.2285	3.2077	6.028	5.1667	4.7057	5.5255	3.8838	4.4224	4.1961	5.5098	1.9442	3.54	3.4672	4.7096	4.8823	4.7754	4.5246	3.6503	3.9771	2.8933	4.4575	144.41	3.6514	5.3953	4.3678	4.5313	3.1386	4.9157
"[2.70 .. 2.72]"	1.6802	1.4104	1.6987	0.85198	1.439	0.76951	1.5033	1.6051	1.3239	1.6989	0.99733	0.47696	1.0355	1.0503	1.3923	1.5759	0.80742	0.80967	1.2412	1.209	0.93437	1.2141	1.2833	1.3671	1.2113	0.99983	1.561	1.8079	1.0055	0.73575	1.2813	1.6744	0	1.0789	1.1536	1.2869	1.4463	1.7583	1.3137	1.0677	1.0973	0.76295	1.0316	0.95219	1.3606	1.5121	1.0111	1.1163	0.74109	1.4713
"[2.72 .. 2.78]"	6.5579	5.395	8.4157	8.6444	6.1287	5.3649	6.2118	8.7132	5.1074	6.9281	4.0193	3.2027	4.9279	5.7326	7.2862	8.4979	4.8742	3.759	5.3918	5.3458	4.4059	5.3344	6.5553	10.449	4.73	4.536	7.0597	7.928	4.4568	3.9188	6.9397	6.0748	2.5287	5.2131	6.0088	5.9649	7.7041	6.7283	7.3917	4.0775	5.7736	3.788	4.1992	2.7699	8.6159	7.3897	5.9035	4.8413	4.8006	6.8121
"[2.78 .. 2.83]"	1.7039	1.6465	2.1742	2.0677	1.1153	2.3204	2.2254	3.0076	1.6929	2.1091	0.61273	0.16053	1.5135	1.1473	2.701	2.3048	2.3116	1.7338	2.6375	0.5934	1.0949	1.1421	1.7527	4.4838	2.3265	1.2305	1.0011	3.85	1.5472	0.77571	1.3756	1.8451	0	0.28668	2.8666	1.7041	1.4658	1.8154	2.0859	1.0137	2.1426	0.41303	1.3609	0.47616	2.7722	2.6736	1.2162	0.8864	1.1294	1.6918
"[2.83 .. 2.85]"	0.32363	0.26268	0.47259	0	0	0	0.2886	0.35052	0.35412	0.39693	0.069483	0	0.15383	0	0.1948	0	0.099934	0.18449	0.17029	0.069029	0.11466	0.33888	0.29232	0.28211	0.16561	0.10888	0	0.44408	0.3358	0	0	0.35447	0	0	0.37415	0.24565	0.12937	0.39521	0	0	0.29296	0	0.26497	0	0.28414	0.30001	0	0.034981	0.044906	0
"[2.85 .. 2.87]"	0.56524	0.45884	0.87986	0.017628	0.095349	0.050563	0.42955	0.46966	0.57747	0.55358	0.47677	0	0.42393	0	0.25283	0.04485	0.12708	0.27402	0.24758	0.4351	0.4237	0.61482	0.51307	0.13205	0.28101	0.27039	0.23283	0.34094	0.51889	0.047442	0.091314	0.65592	0.068942	0.44388	0.55652	0.42405	0.55634	0.61783	0.14153	0.040046	0.65345	0.039553	0.50874	0.17307	0.29972	0.42683	0.12585	0.40359	0.36548	0.0065567
"[2.87 .. 2.93]"	4.687	3.5995	5.2646	3.0244	3.4336	2.7467	4.0125	4.1269	4.6206	4.3308	3.02	2.2167	3.9835	2.2074	2.8384	3.5328	2.2797	2.8418	2.4099	3.6145	2.9956	4.4586	3.7039	1.7989	3.232	3.3615	4.2195	2.5717	2.9681	2.7033	3.8583	3.6247	2.7654	4.2799	2.9491	4.0193	4.7206	4.586	3.2819	2.4694	3.5578	2.5268	3.9806	0.93211	2.8832	4.1281	2.6601	3.0032	2.467	2.1165
"[2.93 .. 2.96]"	3.2447	2.5255	3.7078	2.2455	2.2648	1.8605	2.7342	2.677	3.2121	2.8886	2.4921	1.8221	2.7044	1.5928	1.7123	2.3513	1.4852	1.8071	1.6394	2.8153	2.2888	3.1114	2.4882	1.2324	2.4146	2.1822	2.9077	1.6398	1.9503	2.0823	2.8238	2.7234	2.0826	3.2337	2.1777	2.9918	3.3922	3.0645	2.3859	1.6151	2.5984	1.8275	2.7637	1.0214	2.0896	2.8267	2.1049	2.2845	2.0462	1.6752
"[2.96 .. 2.98]"	2.0537	1.6094	2.3556	1.5274	1.4638	1.3379	1.7969	1.6981	2.0299	1.9875	1.5577	1.2151	1.769	1.114	1.1618	1.4536	1.0081	1.2135	1.1463	1.7561	1.4123	1.9515	1.723	0.81364	1.5649	1.4937	1.9312	1.1366	1.2377	1.4234	1.8797	1.7901	1.2414	2.063	1.4575	1.8828	2.2965	2.0662	1.5818	1.0903	1.667	1.1595	1.7921	0.85678	1.3951	1.8012	1.2675	1.3366	1.413	1.1074
"[2.98 .. 3.04]"	15.576	12.949	19.438	14.173	15.215	12.801	15.748	13.809	16.623	14.44	17.432	14.52	15.856	11.786	9.4594	16.804	10.529	10.584	10.164	16.538	13.796	16.77	12.55	9.0213	13.735	13.353	16.27	8.8331	9.2359	12.284	15.306	13.937	15.228	19.995	13.088	15.552	19.162	18.108	14.019	11.662	13.816	14.607	14.374	6.2146	10.111	12.405	12.942	15.482	13.43	12.747
"[3.04 .. 3.10]"	4.6487	3.7466	5.0008	2.7003	2.9334	2.5188	4.4879	4.1305	4.8686	4.4819	3.5237	2.5002	4.2588	2.7147	2.5723	3.5652	2.3265	2.8842	2.5927	3.8737	2.8756	4.5175	3.675	1.8917	3.9347	3.5054	3.9166	2.4611	2.6902	2.5869	4.4509	3.8145	2.5268	4.043	2.9358	4.5157	4.3121	4.712	3.6556	2.4784	3.252	2.6497	4.0479	1.6703	2.7632	3.8106	2.7088	3.3176	2.3005	2.8642
"[3.10 .. 3.12]"	0.75162	0.52834	1.5554	0.01628	0.25434	0.2969	0.81011	0.74684	0.95909	1.057	0.87234	0	0.61425	0.205	0.30227	0	0.21428	0.60504	0.40509	0.73672	0.50002	0.73892	0.90441	0.13368	0.64068	0.39283	0.53844	0.44445	0.77518	0.16533	0.58107	0.67214	0.2143	0.55606	0.87397	0.83498	0.69897	0.87135	0.41709	0.27966	0.55858	0.20618	0.89494	0.30563	0.48953	0.55053	0.23413	0.26631	0.30512	0.39532
